,Temperature (K),Pressure (MPa),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Surf. Tension (N/m),Phase
549,615.31,15.001,603.50,0.0016570,1585.4,1610.2,3.6846,3.0873,8.5141,641.95,0.72536,69.400,0.47743,0.0051905,liquid
550,615.93,15.118,601.38,0.0016629,1589.7,1614.8,3.6918,3.0903,8.6106,637.16,0.73979,69.127,0.47611,0.0050661,liquid
551,616.56,15.236,599.23,0.0016688,1594.1,1619.5,3.6990,3.0935,8.7111,632.32,0.75461,68.853,0.47479,0.0049423,liquid
552,617.18,15.355,597.06,0.0016749,1598.4,1624.2,3.7062,3.0968,8.8160,627.43,0.76986,68.576,0.47346,0.0048189,liquid
553,617.80,15.474,594.86,0.0016811,1602.8,1628.9,3.7135,3.1002,8.9256,622.50,0.78556,68.298,0.47213,0.0046961,liquid
554,618.43,15.594,592.63,0.0016874,1607.3,1633.6,3.7209,3.1039,9.0402,617.52,0.80172,68.017,0.47079,0.0045737,liquid
555,619.05,15.715,590.37,0.0016938,1611.8,1638.4,3.7283,3.1077,9.1602,612.49,0.81837,67.734,0.46944,0.0044520,liquid
556,619.67,15.837,588.09,0.0017004,1616.3,1643.2,3.7357,3.1118,9.2859,607.41,0.83554,67.448,0.46809,0.0043307,liquid
557,620.30,15.959,585.77,0.0017072,1620.8,1648.1,3.7432,3.1161,9.4179,602.27,0.85324,67.160,0.46674,0.0042101,liquid
558,620.92,16.082,583.42,0.0017140,1625.4,1653.0,3.7508,3.1206,9.5565,597.07,0.87151,66.869,0.46538,0.0040900,liquid
559,621.54,16.206,581.03,0.0017211,1630.0,1657.9,3.7584,3.1254,9.7024,591.82,0.89037,66.575,0.46401,0.0039705,liquid
560,622.17,16.331,578.61,0.0017283,1634.7,1662.9,3.7661,3.1304,9.8561,586.50,0.90987,66.278,0.46264,0.0038516,liquid
561,622.79,16.457,576.14,0.0017357,1639.4,1668.0,3.7739,3.1358,10.018,581.11,0.93003,65.977,0.46127,0.0037334,liquid
562,623.41,16.583,573.65,0.0017432,1644.1,1673.0,3.7817,3.1414,10.190,575.66,0.95088,65.674,0.45989,0.0036158,liquid
563,624.04,16.710,571.10,0.0017510,1648.9,1678.2,3.7896,3.1474,10.371,570.14,0.97247,65.367,0.45851,0.0034988,liquid
564,624.66,16.838,568.52,0.0017590,1653.8,1683.4,3.7976,3.1537,10.563,564.54,0.99483,65.056,0.45713,0.0033825,liquid
565,625.28,16.967,565.89,0.0017671,1658.7,1688.7,3.8056,3.1605,10.767,558.87,1.0180,64.741,0.45575,0.0032670,liquid
566,625.91,17.097,563.21,0.0017755,1663.6,1694.0,3.8138,3.1676,10.984,553.12,1.0421,64.422,0.45438,0.0031521,liquid
567,626.53,17.227,560.49,0.0017842,1668.6,1699.4,3.8220,3.1752,11.214,547.28,1.0670,64.098,0.45300,0.0030380,liquid
568,627.15,17.358,557.71,0.0017931,1673.7,1704.8,3.8303,3.1833,11.460,541.37,1.0929,63.770,0.45163,0.0029246,liquid
569,627.78,17.490,554.87,0.0018022,1678.8,1710.4,3.8388,3.1919,11.723,535.36,1.1198,63.436,0.45026,0.0028120,liquid
570,628.40,17.623,551.97,0.0018117,1684.0,1716.0,3.8473,3.2012,12.005,529.27,1.1478,63.098,0.44890,0.0027002,liquid
571,629.02,17.757,549.02,0.0018214,1689.3,1721.7,3.8560,3.2110,12.307,523.08,1.1770,62.754,0.44756,0.0025892,liquid
572,629.65,17.892,546.00,0.0018315,1694.7,1727.4,3.8647,3.2216,12.631,516.80,1.2073,62.403,0.44622,0.0024791,liquid
573,630.27,18.028,542.90,0.0018419,1700.1,1733.3,3.8736,3.2329,12.981,510.43,1.2388,62.047,0.44491,0.0023698,liquid
574,630.89,18.164,539.74,0.0018527,1705.6,1739.2,3.8827,3.2450,13.357,503.96,1.2717,61.684,0.44361,0.0022615,liquid
575,631.52,18.301,536.50,0.0018639,1711.2,1745.3,3.8918,3.2581,13.765,497.40,1.3060,61.314,0.44234,0.0021541,liquid
576,632.14,18.440,533.17,0.0018756,1716.9,1751.4,3.9012,3.2721,14.206,490.74,1.3417,60.936,0.44110,0.0020477,liquid
577,632.76,18.579,529.76,0.0018876,1722.6,1757.7,3.9107,3.2872,14.685,483.99,1.3790,60.551,0.43989,0.0019423,liquid
578,633.39,18.719,526.26,0.0019002,1728.5,1764.1,3.9203,3.3035,15.206,477.15,1.4178,60.157,0.43873,0.0018380,liquid
579,634.01,18.860,522.66,0.0019133,1734.5,1770.6,3.9302,3.3211,15.775,470.22,1.4584,59.754,0.43762,0.0017347,liquid
580,634.63,19.002,518.95,0.0019270,1740.6,1777.2,3.9402,3.3401,16.399,463.21,1.5006,59.342,0.43656,0.0016326,liquid
581,635.25,19.145,515.14,0.0019412,1746.9,1784.0,3.9505,3.3606,17.083,456.13,1.5448,58.920,0.43558,0.0015317,liquid
582,635.88,19.289,511.20,0.0019562,1753.2,1791.0,3.9610,3.3828,17.838,448.99,1.5908,58.487,0.43468,0.0014320,liquid
583,636.50,19.433,507.15,0.0019718,1759.8,1798.1,3.9717,3.4067,18.675,441.79,1.6388,58.044,0.43388,0.0013336,liquid
584,637.12,19.579,502.96,0.0019882,1766.4,1805.4,3.9827,3.4326,19.609,434.54,1.6890,57.589,0.43319,0.0012366,liquid
585,637.75,19.726,498.62,0.0020055,1773.3,1812.8,3.9939,3.4605,20.658,427.26,1.7415,57.121,0.43265,0.0011410,liquid
586,638.37,19.874,494.13,0.0020238,1780.3,1820.5,4.0055,3.4907,21.850,419.95,1.7964,56.639,0.43228,0.0010469,liquid
587,638.99,20.023,489.47,0.0020430,1787.5,1828.4,4.0174,3.5232,23.219,412.60,1.8542,56.143,0.43213,0.00095443,liquid
588,639.62,20.173,484.61,0.0020635,1795.0,1836.6,4.0297,3.5584,24.817,405.22,1.9150,55.631,0.43226,0.00086367,liquid
589,640.24,20.324,479.54,0.0020853,1802.7,1845.1,4.0425,3.5966,26.718,397.77,1.9796,55.100,0.43276,0.00077472,liquid
590,640.86,20.476,474.22,0.0021087,1810.7,1853.9,4.0558,3.6381,29.031,390.22,2.0486,54.548,0.43375,0.00068773,liquid
591,641.49,20.629,468.59,0.0021341,1819.1,1863.1,4.0697,3.6839,31.926,382.48,2.1230,53.971,0.43540,0.00060285,liquid
592,642.11,20.783,462.58,0.0021618,1828.0,1872.9,4.0843,3.7351,35.669,374.45,2.2043,53.364,0.43797,0.00052027,liquid
593,642.73,20.939,456.10,0.0021925,1837.4,1883.3,4.1000,3.7938,40.704,365.94,2.2945,52.719,0.44184,0.00044020,liquid
594,643.36,21.096,448.98,0.0022272,1847.5,1894.5,4.1169,3.8637,47.813,356.71,2.3962,52.027,0.44758,0.00036294,liquid
595,643.98,21.254,441.01,0.0022675,1858.7,1906.9,4.1357,3.9511,58.478,346.36,2.5134,51.273,0.45614,0.00028883,liquid
596,644.60,21.413,431.81,0.0023159,1871.4,1921.0,4.1569,4.0678,75.806,334.35,2.6517,50.437,0.46919,0.00021836,liquid
597,645.23,21.574,420.78,0.0023765,1886.2,1937.4,4.1818,4.2369,107.24,319.86,2.8194,49.490,0.49005,0.00015224,liquid
598,645.85,21.736,406.92,0.0024575,1904.3,1957.7,4.2127,4.5051,175.35,302.02,3.0270,48.396,0.52723,9.1540e-05,liquid
599,646.47,21.899,387.98,0.0025775,1928.6,1985.1,4.2544,4.9873,399.39,280.02,3.2867,47.132,0.61750,3.8351e-05,liquid
600,647.10,22.064,322.00,0.0031056,2015.7,2084.3,4.4070,undefined,undefined,undefined,3.7410,94.111,undefined,undefined,liquid
