,Temperature (K),Pressure (MPa),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
67,314.92,0.0081092,0.055962,17.869,2431.8,2576.7,8.2225,1.4571,1.9340,437.87,181.01,10.243,0.019640,vapor
68,315.54,0.0083790,0.057714,17.327,2432.6,2577.8,8.2110,1.4578,1.9349,438.28,178.40,10.264,0.019686,vapor
69,316.16,0.0086565,0.059511,16.804,2433.4,2578.9,8.1995,1.4584,1.9358,438.69,175.84,10.284,0.019733,vapor
70,316.79,0.0089419,0.061356,16.298,2434.3,2580.0,8.1881,1.4591,1.9367,439.10,173.34,10.305,0.019779,vapor
71,317.41,0.0092354,0.063250,15.810,2435.1,2581.1,8.1768,1.4598,1.9377,439.50,170.89,10.325,0.019826,vapor
72,318.03,0.0095371,0.065192,15.339,2435.9,2582.2,8.1655,1.4605,1.9386,439.91,168.50,10.346,0.019873,vapor
73,318.66,0.0098472,0.067185,14.884,2436.8,2583.3,8.1542,1.4612,1.9396,440.31,166.15,10.367,0.019919,vapor
74,319.28,0.010166,0.069230,14.445,2437.6,2584.4,8.1430,1.4619,1.9405,440.72,163.85,10.387,0.019966,vapor
75,319.90,0.010494,0.071327,14.020,2438.4,2585.5,8.1319,1.4626,1.9415,441.12,161.60,10.408,0.020014,vapor
76,320.53,0.010830,0.073477,13.610,2439.2,2586.6,8.1208,1.4633,1.9425,441.52,159.40,10.429,0.020061,vapor
77,321.15,0.011176,0.075683,13.213,2440.1,2587.7,8.1098,1.4640,1.9435,441.92,157.24,10.450,0.020108,vapor
78,321.77,0.011532,0.077943,12.830,2440.9,2588.9,8.0989,1.4647,1.9445,442.33,155.13,10.470,0.020155,vapor
79,322.39,0.011896,0.080261,12.459,2441.7,2590.0,8.0880,1.4654,1.9455,442.73,153.06,10.491,0.020203,vapor
80,323.02,0.012271,0.082637,12.101,2442.6,2591.1,8.0771,1.4661,1.9465,443.12,151.03,10.512,0.020251,vapor
81,323.64,0.012656,0.085071,11.755,2443.4,2592.2,8.0663,1.4669,1.9476,443.52,149.05,10.533,0.020298,vapor
82,324.26,0.013052,0.087566,11.420,2444.2,2593.3,8.0556,1.4676,1.9486,443.92,147.10,10.554,0.020346,vapor
83,324.89,0.013457,0.090123,11.096,2445.0,2594.4,8.0449,1.4684,1.9497,444.32,145.19,10.575,0.020394,vapor
84,325.51,0.013874,0.092742,10.783,2445.9,2595.5,8.0343,1.4691,1.9507,444.71,143.33,10.596,0.020443,vapor
